review_id,customer_id,product_id,platform_id,review_text,review_timestamp,rating,verified_purchase,refunded_product,is_fraud
R00001,C0057,P0029,2,The Sleep Mask is fantastic. Highly recommend this TechPro Home & Garden.,2023-06-08 10:59:00,3,False,False,0
R00002,C0026,P0046,3,The Resistance Bands from KitchenKing works well. Good Toys item for the price.,2023-07-06 22:30:00,5,False,False,1
R00003,C0115,P0040,1,Great product! The Vitamin D Supplement is exactly what I needed for Clothing.,2023-06-29 09:15:00,4,False,False,0
R00004,C0078,P0008,1,love love love it it it best best best,2023-11-09 16:36:00,2,True,False,1
R00005,C0062,P0046,1,The Resistance Bands arrived on time. As a Toys product it meets expectations.,2023-06-22 16:23:00,5,True,False,1
R00006,C0018,P0034,3,Fantastic! Highly recommend! Five stars!,2023-09-08 11:16:00,1,False,True,0
R00007,C0192,P0002,2,The Wireless Earbuds arrived on time. As a Health product it meets expectations.,2023-07-05 01:22:00,3,True,False,1
R00008,C0140,P0022,3,love love love it it it best best best,2023-12-01 14:02:00,5,True,False,1
R00009,C0076,P0013,1,The Coffee Maker from BeautyGlow works well. Good Clothing item for the price.,2023-06-10 20:12:00,3,False,False,0
R00010,C0074,P0023,1,Love the Board Game Family! Best Books I've tried from PlayFun.,2023-09-07 10:11:00,4,True,False,0
R00011,C0128,P0045,2,PERFECT FIVE STARS!!!,2023-07-17 17:18:00,5,True,False,1
R00012,C0083,P0007,1,love love love it it it best best best,2023-06-11 23:55:00,4,True,False,1
R00013,C0091,P0040,2,BEST PURCHASE EVER!!! INCREDIBLE!!! FIVE STARS!!! BUY NOW!!!,2023-11-21 05:01:00,2,True,False,1
R00014,C0037,P0039,3,The Kitchen Knife Set from HomeEssentials works well. Good Kitchen item for the price.,2023-06-09 19:09:00,2,True,False,0
R00015,C0174,P0029,2,INCREDIBLE!!! PERFECT!!! AMAZING!!! No words!!! !!!,2023-06-30 00:47:00,2,True,False,1
R00016,C0048,P0032,3,PERFECT FIVE STARS!!!,2023-11-25 15:12:00,5,True,False,1
R00017,C0032,P0009,1,Great quality! Exactly what I needed! Perfect!,2023-08-21 21:22:00,1,False,False,1
R00018,C0182,P0005,3,Amazing product! Best purchase ever! Love it!,2023-09-01 16:14:00,1,False,False,1
R00019,C0032,P0013,1,best best best amazing amazing amazing love love love it it it,2023-11-04 02:04:00,4,False,False,1
R00020,C0080,P0026,3,Works as described. The Plant Pot Set from ReadWell is a decent Sports product.,2023-06-19 14:29:00,4,True,False,0
R00021,C0175,P0034,2,OMG!!! BEST!!! EVER!!! Changed my LIFE!!! !!!!!,2023-06-15 03:33:00,4,False,False,1
R00022,C0040,P0020,1,BEST EVER !!!!!,2023-08-04 06:40:00,4,False,False,1
R00023,C0142,P0018,1,The Sports Baby Stroller is functional. No major issues with the Generic build.,2023-11-16 19:46:00,4,False,False,0
R00024,C0155,P0022,3,PERFECT!!! AMAZING!!! LOVE IT!!! MUST HAVE!!! !!!!!,2023-12-14 18:26:00,1,True,False,1
R00025,C0159,P0041,1,Great quality! Exactly what I needed! Perfect!,2023-11-23 12:19:00,1,True,False,1
R00026,C0117,P0005,3,Absolutely INCREDIBLE!!! The BEST thing I have EVER bought!!! Life changing!!!,2023-08-21 23:55:00,4,True,False,1
R00027,C0089,P0026,1,Works as described. The Plant Pot Set from ReadWell is a decent Sports product.,2023-06-25 01:18:00,4,True,False,0
R00028,C0099,P0040,2,BEST BEST BEST!!! AMAZING!!! MUST BUY!!! !!! ??? ...,2023-07-11 15:32:00,5,False,False,1
R00029,C0120,P0032,2,Disappointing. Waste of money. Regret buying.,2023-08-30 01:03:00,5,False,False,1
R00030,C0073,P0032,3,The Fitness Tracker Pro is fantastic. Highly recommend this TechPro Electronics.,2023-09-02 12:23:00,4,True,False,0
R00031,C0012,P0026,1,The ReadWell Plant Pot Set is okay. Expected more for a Sports item.,2023-11-07 21:39:00,3,True,False,0
R00032,C0031,P0009,1,WOW!!! BUY!!!,2023-09-11 16:02:00,4,True,False,1
